user_id,rank,artist,title,song_id,score
b80344d063b5ccb3212f76538f3d9e43d87dca9e,1,Björk,Undo,SOAUWYT12A81C206F1,2.1399733535489
b80344d063b5ccb3212f76538f3d9e43d87dca9e,2,Five Iron Frenzy,Canada,SOPUCYA12A8C13A694,1.2140313936824203
b80344d063b5ccb3212f76538f3d9e43d87dca9e,3,Cradle Of Filth,Better To Reign In Hell,SOQZYQH12A8AE468E5,0.903465223205522
b80344d063b5ccb3212f76538f3d9e43d87dca9e,4,Will Young,Who Am I,SOPATZX12A8AE46295,0.8152082389952756
b80344d063b5ccb3212f76538f3d9e43d87dca9e,5,Alabama 3,The Klan,SOTLEJN12A8C13E8EF,0.8152082389952756
b80344d063b5ccb3212f76538f3d9e43d87dca9e,6,Hypasonic,Whatever,SOMEIDU12AB0182205,0.7340654938544866
b80344d063b5ccb3212f76538f3d9e43d87dca9e,7,Julia Fordham,I Thought It Was You,SOISSYK12A6D4F78A8,0.6114061792464567
b80344d063b5ccb3212f76538f3d9e43d87dca9e,8,Peggy Zina,Ftes,SOTFGMT12AB0182B39,0.6114061792464567
b80344d063b5ccb3212f76538f3d9e43d87dca9e,9,Todd Rundgren,Bang On The Drum,SOJDXLI12AF72ABB7E,0.6097857424782176
b80344d063b5ccb3212f76538f3d9e43d87dca9e,10,Darc Mind,Where I've Alwayz Been,SOVSQGI12AB0182392,0.5095051493720473
85c1f87fea955d09b4bec2e36aee110927aedf9a,1,Nick Lowe,All Men Are Liars,SOLPVAQ12AB017EB35,0.16106992930627423
85c1f87fea955d09b4bec2e36aee110927aedf9a,2,Alphabeat,Fascination,SOAFNSV12A8159E996,0.09843162346494537
85c1f87fea955d09b4bec2e36aee110927aedf9a,3,Aaron Sprinkle,Boy Who Stopped The World_ The  (Lackluster Album Version),SOUFIYP12A6D4FB033,0.08948329405904124
85c1f87fea955d09b4bec2e36aee110927aedf9a,4,Soundgarden,Burden In My Hand,SOYIZSN12A6701E0BB,0.06263830584132887
85c1f87fea955d09b4bec2e36aee110927aedf9a,5,La Roux,Bulletproof,SOLRGVL12A8C143BC3,0.053689976435424745
85c1f87fea955d09b4bec2e36aee110927aedf9a,6,Kevin Kern,Childhood Remembered,SOSRPRE12AB0183EC6,0.04474164702952062
